# d_ref=1	i_ref=1
M	D	I	n	solution_count
1	0	1	1	1
2	1	1	1	1
3	1	2	1	1
4	2	2	1	1
5	2	3	1	1
6	3	3	1	1
7	3	4	1	1
8	4	4	1	1
9	4	5	1	1
10	5	5	1	1
11	5	6	1	1
12	6	6	1	1
13	6	7	1	1
14	7	7	1	1
15	7	8	1	1
1	0	1	2	0
2	1	1	2	2
3	1	2	2	4
4	2	2	2	10
5	2	3	2	14
6	3	3	2	30
7	3	4	2	38
8	4	4	2	78
9	4	5	2	94
10	5	5	2	190
11	5	6	2	222
12	6	6	2	446
13	6	7	2	510
14	7	7	2	1022
15	7	8	2	1150
1	0	1	3	0
2	1	1	3	0
3	1	2	3	3
4	2	2	3	21
5	2	3	3	45
6	3	3	3	177
7	3	4	3	288
8	4	4	3	978
9	4	5	3	1416
10	5	5	3	4530
11	5	6	3	6135
12	6	6	3	19071
13	6	7	3	24711
14	7	7	3	75663
15	7	8	3	94962
1	0	1	4	0
2	1	1	4	0
3	1	2	4	0
4	2	2	4	12
5	2	3	4	52
6	3	3	4	388
7	3	4	4	856
8	4	4	4	4576
9	4	5	4	8104
10	5	5	4	38080
11	5	6	4	60140
12	6	6	4	265100
13	6	7	4	389612
14	7	7	4	1657292
15	7	8	4	2316608
1	0	1	5	0
2	1	1	5	0
3	1	2	5	0
4	2	2	5	0
5	2	3	5	20
6	3	3	5	360
7	3	4	5	1205
8	4	4	5	10305
9	4	5	5	23125
10	5	5	5	156145
11	5	6	5	291975
12	6	6	5	1760575
13	6	7	5	2955975
14	7	7	5	16727935
15	7	8	5	26127710
1	0	1	6	0
2	1	1	6	0
3	1	2	6	0
4	2	2	6	0
5	2	3	6	0
6	3	3	6	120
7	3	4	6	810
8	4	4	6	12090
9	4	5	6	36546
10	5	5	6	358026
11	5	6	6	812526
12	6	6	6	6627006
13	6	7	6	12869646
14	7	7	6	94953726
15	7	8	6	166845756
1	0	1	7	0
2	1	1	7	0
3	1	2	7	0
4	2	2	7	0
5	2	3	7	0
6	3	3	7	0
7	3	4	7	210
8	4	4	7	7140
9	4	5	7	32634
10	5	5	7	484260
11	5	6	7	1386217
12	6	6	7	15391201
13	6	7	7	35210665
14	7	7	7	336562177
15	7	8	7	672068320
1	0	1	8	0
2	1	1	8	0
3	1	2	8	0
4	2	2	8	0
5	2	3	8	0
6	3	3	8	0
7	3	4	8	0
8	4	4	8	1680
9	4	5	8	15456
10	5	5	8	384720
11	5	6	8	1479240
12	6	6	8	22923656
13	6	7	8	63437256
14	7	7	8	789183368
15	7	8	8	1816280992
1	0	1	9	0
2	1	1	9	0
3	1	2	9	0
4	2	2	9	0
5	2	3	9	0
6	3	3	9	0
7	3	4	9	0
8	4	4	9	0
9	4	5	9	3024
10	5	5	9	166320
11	5	6	9	965160
12	6	6	9	21999600
13	6	7	9	76615272
14	7	7	9	1260472752
15	7	8	9	3408776793
1	0	1	10	0
2	1	1	10	0
3	1	2	10	0
4	2	2	10	0
5	2	3	10	0
6	3	3	10	0
7	3	4	10	0
8	4	4	10	0
9	4	5	10	0
10	5	5	10	30240
11	5	6	10	352800
12	6	6	10	13179600
13	6	7	10	61552800
14	7	7	10	1381680720
15	7	8	10	4511662470
