# d_ref=1	i_ref=9
M	D	I	n	solution_count
1	0	1	1	1
2	0	2	1	1
3	0	3	1	1
4	0	4	1	1
5	0	5	1	1
6	0	6	1	1
7	0	7	1	1
8	0	8	1	1
9	0	9	1	1
10	1	9	1	1
11	1	10	1	1
12	1	11	1	1
13	1	12	1	1
14	1	13	1	1
15	1	14	1	1
16	1	15	1	1
17	1	16	1	1
18	1	17	1	1
19	1	18	1	1
20	2	18	1	1
1	0	1	2	0
2	0	2	2	1
3	0	3	2	2
4	0	4	2	3
5	0	5	2	4
6	0	6	2	5
7	0	7	2	6
8	0	8	2	7
9	0	9	2	8
10	1	9	2	18
11	1	10	2	20
12	1	11	2	22
13	1	12	2	24
14	1	13	2	26
15	1	14	2	28
16	1	15	2	30
17	1	16	2	32
18	1	17	2	34
19	1	18	2	36
20	2	18	2	74
1	0	1	3	0
2	0	2	3	0
3	0	3	3	1
4	0	4	3	3
5	0	5	3	6
6	0	6	3	10
7	0	7	3	15
8	0	8	3	21
9	0	9	3	28
10	1	9	3	108
11	1	10	3	135
12	1	11	3	165
13	1	12	3	198
14	1	13	3	234
15	1	14	3	273
16	1	15	3	315
17	1	16	3	360
18	1	17	3	408
19	1	18	3	459
20	2	18	3	1485
1	0	1	4	0
2	0	2	4	0
3	0	3	4	0
4	0	4	4	1
5	0	5	4	4
6	0	6	4	10
7	0	7	4	20
8	0	8	4	35
9	0	9	4	56
10	1	9	4	336
11	1	10	4	480
12	1	11	4	660
13	1	12	4	880
14	1	13	4	1144
15	1	14	4	1456
16	1	15	4	1820
17	1	16	4	2240
18	1	17	4	2720
19	1	18	4	3264
20	2	18	4	14892
1	0	1	5	0
2	0	2	5	0
3	0	3	5	0
4	0	4	5	0
5	0	5	5	1
6	0	6	5	5
7	0	7	5	15
8	0	8	5	35
9	0	9	5	70
10	1	9	5	630
11	1	10	5	1050
12	1	11	5	1650
13	1	12	5	2475
14	1	13	5	3575
15	1	14	5	5005
16	1	15	5	6825
17	1	16	5	9100
18	1	17	5	11900
19	1	18	5	15300
20	2	18	5	92820
1	0	1	6	0
2	0	2	6	0
3	0	3	6	0
4	0	4	6	0
5	0	5	6	0
6	0	6	6	1
7	0	7	6	6
8	0	8	6	21
9	0	9	6	56
10	1	9	6	756
11	1	10	6	1512
12	1	11	6	2772
13	1	12	6	4752
14	1	13	6	7722
15	1	14	6	12012
16	1	15	6	18018
17	1	16	6	26208
18	1	17	6	37128
19	1	18	6	51408
20	2	18	6	400248
1	0	1	7	0
2	0	2	7	0
3	0	3	7	0
4	0	4	7	0
5	0	5	7	0
6	0	6	7	0
7	0	7	7	1
8	0	8	7	7
9	0	9	7	28
10	1	9	7	588
11	1	10	7	1470
12	1	11	7	3234
13	1	12	7	6468
14	1	13	7	12012
15	1	14	7	21021
16	1	15	7	35035
17	1	16	7	56056
18	1	17	7	86632
19	1	18	7	129948
20	2	18	7	1269492
1	0	1	8	0
2	0	2	8	0
3	0	3	8	0
4	0	4	8	0
5	0	5	8	0
6	0	6	8	0
7	0	7	8	0
8	0	8	8	1
9	0	9	8	8
10	1	9	8	288
11	1	10	8	960
12	1	11	8	2640
13	1	12	8	6336
14	1	13	8	13728
15	1	14	8	27456
16	1	15	8	51480
17	1	16	8	91520
18	1	17	8	155584
19	1	18	8	254592
20	2	18	8	3076320
1	0	1	9	0
2	0	2	9	0
3	0	3	9	0
4	0	4	9	0
5	0	5	9	0
6	0	6	9	0
7	0	7	9	0
8	0	8	9	0
9	0	9	9	1
10	1	9	9	81
11	1	10	9	405
12	1	11	9	1485
13	1	12	9	4455
14	1	13	9	11583
15	1	14	9	27027
16	1	15	9	57915
17	1	16	9	115830
18	1	17	9	218790
19	1	18	9	393822
20	2	18	9	5835726
1	0	1	10	0
2	0	2	10	0
3	0	3	10	0
4	0	4	10	0
5	0	5	10	0
6	0	6	10	0
7	0	7	10	0
8	0	8	10	0
9	0	9	10	0
