# d_ref=2	i_ref=3
M	D	I	n	solution_count
1	0	1	1	1
2	0	2	1	1
3	1	2	1	1
4	1	3	1	1
5	2	3	1	1
6	2	4	1	1
7	2	5	1	1
8	3	5	1	1
9	3	6	1	1
10	4	6	1	1
1	0	1	2	0
2	0	2	2	1
3	1	2	2	4
4	1	3	2	6
5	2	3	2	14
6	2	4	2	18
7	2	5	2	22
8	3	5	2	46
9	3	6	2	54
10	4	6	2	110
1	0	1	3	0
2	0	2	3	0
3	1	2	3	3
4	1	3	3	9
5	2	3	3	45
6	2	4	3	78
7	2	5	3	120
8	3	5	3	426
9	3	6	3	591
10	4	6	3	1935
1	0	1	4	0
2	0	2	4	0
3	1	2	4	0
4	1	3	4	4
5	2	3	4	52
6	2	4	4	136
7	2	5	4	280
8	3	5	4	1600
9	3	6	4	2684
10	4	6	4	13100
1	0	1	5	0
2	0	2	5	0
3	1	2	5	0
4	1	3	5	0
5	2	3	5	20
6	2	4	5	105
7	2	5	5	325
8	3	5	5	3025
9	3	6	5	6375
10	4	6	5	45295
1	0	1	6	0
2	0	2	6	0
3	1	2	6	0
4	1	3	6	0
5	2	3	6	0
6	2	4	6	30
7	2	5	6	186
8	3	5	6	3066
9	3	6	6	8646
10	4	6	6	90126
1	0	1	7	0
2	0	2	7	0
3	1	2	7	0
4	1	3	7	0
5	2	3	7	0
6	2	4	7	0
7	2	5	7	42
8	3	5	7	1596
9	3	6	7	6769
10	4	6	7	107905
1	0	1	8	0
2	0	2	8	0
3	1	2	8	0
4	1	3	8	0
5	2	3	8	0
6	2	4	8	0
7	2	5	8	0
8	3	5	8	336
9	3	6	8	2856
10	4	6	8	77000
1	0	1	9	0
2	0	2	9	0
3	1	2	9	0
4	1	3	9	0
5	2	3	9	0
6	2	4	9	0
7	2	5	9	0
8	3	5	9	0
9	3	6	9	504
10	4	6	9	30240
1	0	1	10	0
2	0	2	10	0
3	1	2	10	0
4	1	3	10	0
5	2	3	10	0
6	2	4	10	0
7	2	5	10	0
8	3	5	10	0
9	3	6	10	0
10	4	6	10	5040
